Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat",3,2,8,10,3,0,0,3,141,66,0,0,0,"2,25",7,13,18
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoIcsImpl",2,0,15,15,2,1,1,5,22,22,0,0,5,"1,00",5,5,5
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoStubImpl",3,0,10,10,1,0,1,5,17,17,1,0,0,"1,00",5,5,5
"android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.AccessibilityServiceInfoVersionImpl",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"android.support.v4.app.ActivityCompat",1,0,1,1,1,1,0,1,45,9,0,0,0,"2,00",1,1,2
"android.support.v4.app.BackStackRecord",6,28,70,98,27,1,1,1,495,492,0,0,0,"2,75",33,52,110
"android.support.v4.app.BackStackRecord.Op",3,9,0,9,27,0,0,0,11,11,0,0,0,n/a,0,0,0
"android.support.v4.app.BackStackState",6,10,5,15,27,0,0,2,128,128,0,0,0,"2,86",2,8,20
"android.support.v4.app.DialogFragment",3,58,98,156,28,1,0,2,371,229,0,63,9,"2,20",7,43,55
"android.support.v4.app.Fragment",18,46,75,121,27,0,0,15,1.057,470,2,0,0,"1,56",33,88,117
"android.support.v4.app.Fragment.InstantiationException",1,0,1,1,0,0,0,0,9,5,0,0,0,"1,00",0,1,1
"android.support.v4.app.Fragment.SavedState",4,2,4,6,0,0,0,2,34,29,0,0,0,"1,17",1,4,7
"android.support.v4.app.FragmentActivity",10,17,33,50,27,0,0,4,626,439,0,0,0,"3,03",11,79,103
"android.support.v4.app.FragmentActivity.FragmentTag",1,4,0,4,0,0,0,0,8,8,0,0,0,n/a,0,0,0
"android.support.v4.app.FragmentActivity.NonConfigurationInstances",4,5,0,5,27,0,0,0,7,7,0,0,0,n/a,0,0,0
"android.support.v4.app.FragmentManager",10,1,20,21,27,0,0,19,206,28,1,0,0,"1,00",12,20,2
"android.support.v4.app.FragmentManager.BackStackEntry",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
